Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,AltitudeFromSea,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,
1,3,1.55,5.49,0,0,953.14,121.73,72.45,0,-0.1,-74.56,94,0,0.1,175,
2,9,1.57,5.6,14555.02,1.57,945.94,127.86,72.45,0,-0.1,-74.56,104,0,0.1,175,
3,15,1.58,5.73,14564.01,1.58,938.74,139.62,72.45,0,-0.1,-74.56,122,0,0.1,176,
4,20,1.59,5.85,14581.85,1.59,931.54,157.13,72.45,0,-0.1,-74.56,150,0,0.1,176,
5,26,1.6,5.98,14605.73,1.61,924.34,180.52,72.45,0,-0.1,-74.56,188,0,0.1,177,
6,32,1.62,6.12,14629.47,1.62,917.15,209.92,72.45,0,-0.1,-74.56,236,0,0.1,178,
7,39,1.63,6.26,14667.19,1.64,909.95,245.47,72.45,0,-0.1,-74.56,294,0,0.11,179,
8,45,1.65,6.4,14710.9,1.66,902.75,287.31,72.45,0,-0.1,-74.56,363,0,0.11,181,
9,51,1.66,6.55,14750.85,1.68,895.55,335.58,72.45,0,-0.1,-74.56,443,0,0.12,182,
10,58,1.68,6.71,14810.51,1.7,888.35,390.43,72.45,0,-0.1,-74.56,536,0,0.14,184,
11,65,1.69,6.87,14876.18,1.72,881.16,452.03,72.45,0,-0.1,-74.56,641,0,0.16,187,
12,72,1.71,7.03,14934.12,1.74,873.96,520.53,72.45,0,-0.1,-74.56,758,0,0.19,189,
13,79,1.73,7.2,15018.14,1.76,866.76,596.09,72.45,0,-0.1,-74.56,889,0,0.22,192,
14,86,1.75,7.38,15108.15,1.79,859.56,678.89,72.45,0,-0.1,-74.56,1035,0,0.25,195,
15,94,1.76,7.56,15185.98,1.81,852.36,769.1,72.45,0,-0.1,-74.56,1195,0,0.29,199,
16,102,1.78,7.75,15296.85,1.84,845.17,866.91,72.45,0,-0.1,-74.56,1370,0,0.34,203,
17,109,1.8,7.95,15413.56,1.87,837.97,972.52,72.45,0.01,-0.1,-74.56,1562,0,0.4,207,
18,118,1.82,8.16,15513.08,1.9,830.77,1086.12,72.45,0.01,-0.1,-74.56,1770,0,0.46,211,
19,126,1.84,8.37,15653.02,1.94,823.57,1207.9,72.45,0.01,-0.1,-74.56,1996,0,0.53,216,
20,134,1.87,8.6,15798.33,1.97,816.37,1338.09,72.45,0.01,-0.1,-74.56,2241,0,0.61,222,
21,143,1.89,8.81,15954.02,2.01,809.03,1479.75,72.14,0.01,-0.1,-74.56,2511,0,0.71,228,
22,152,1.91,9.03,16091.21,2.04,802.12,1621.43,70.94,0.02,-0.1,-74.56,2784,0,0.73,234,
23,161,1.93,9.35,16265.93,2.09,794.64,1784.27,69.55,0.02,-0.1,-74.56,3100,0,0.73,242,
24,171,1.96,9.64,16411.64,2.12,787.58,1946.87,67.64,0.03,-0.1,-74.56,3421,0,0.72,249,
25,180,2,9.96,16612.12,2.17,780.38,2122.24,67.64,0.03,-0.1,-74.56,3775,0,0.73,257,
26,190,2.03,10.29,16815.63,2.22,773.19,2307.5,67.65,0.04,-0.09,-74.55,4155,0,0.76,266,
27,201,2.07,10.64,17029.07,2.27,765.84,2507.02,67.66,0.05,-0.09,-74.55,4572,0,0.8,274,
28,212,2.1,10.97,17213.53,2.31,758.93,2704.85,67.68,0.06,-0.09,-74.55,4993,0,0.81,283,
29,223,2.14,11.35,17444.07,2.36,751.45,2930.51,67.69,0.08,-0.09,-74.55,5481,0,0.81,293,
30,234,2.17,11.72,17632.91,2.41,744.54,3149.65,67.71,0.09,-0.09,-74.55,5966,0,0.82,303,
31,247,2.22,12.13,17887.93,2.47,737.05,3399.2,67.72,0.11,-0.09,-74.55,6529,0,0.84,313,
32,259,2.25,12.5,18141.28,2.53,730.14,3641.16,67.73,0.13,-0.09,-74.55,7086,0,0.86,324,
33,272,2.29,12.91,18401.19,2.6,722.66,3916.24,67.75,0.15,-0.09,-74.54,7730,0,0.87,335,
